Calculation1,School,City,County/State/Country,Measure Names,Measure Values
ALTA LOMA HIGH SCHOOL050077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,App GPA,3.743545455
ALTA VISTA ALTERNATIVE HS054462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,Enrl GPA,
ALTA VISTA ALTERNATIVE HS054462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,Adm GPA,4.097
ALTA VISTA ALTERNATIVE HS054462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,App GPA,4.054545455
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Enrl GPA,
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,Adm GPA,3.735
ALTERNATIVES IN ACTION HS050013,ALTERNATIVES IN ACTION HS,Oakland,Alameda,App GPA,3.117058824
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Enrl GPA,
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Adm GPA,4.211
AMADOR HIGH SCHOOL053480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,App GPA,3.975625
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enrl GPA,3.861779661
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm GPA,3.849652174
AMADOR VALLEY HIGH SCHOOL052495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App GPA,3.757305195
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Enrl GPA,3.85
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm GPA,3.675
AMBASSADOR SCHL GLOBAL LDRSHP051776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App GPA,3.514545455
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Enrl GPA,3.975185185
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Adm GPA,3.951395349
AMERICAN CANYON HIGH SCHOOL054406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,App GPA,3.836338028
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enrl GPA,3.916862745
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm GPA,3.885
AMERICAN HIGH SCHOOL050974,AMERICAN HIGH SCHOOL,Fremont,Alameda,App GPA,3.808494624
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Enrl GPA,3.977142857
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,Adm GPA,3.922142857
AMOS ALONZO STAGG HIGH SCHOOL053442,AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,App GPA,3.648695652
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Enrl GPA,3.835925926
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm GPA,3.731973684
ANAHEIM HIGH SCHOOL050090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App GPA,3.542033898
